token,V1,V2,V3
flowers,The body ,Valued plants and weeds  ,Food 
woods,NA,NA,NA
trees,NA,NA,NA
bath,Water ,Healing/cure ,Healing/cure 
day,Life ,Farming ,Shine 
herbs,NA,NA,NA
oil,Source/principle of life  oil (c1380–),Come by death ,Food 
water,Land ,Water  water < wæter (OE–),Water 
air,"Atmosphere, weather ","Atmosphere, weather ",The body 
breasts,NA,NA,NA
lemon,The body ,Particular plants ,Particular plants 
P.,Money ,,[
foliage,Part of plant ,The Arts ,The Arts 
hair,The body ,The body ,The body 
leaves,Particular plants ,,[
room,Of/pertaining to (earth's) atmosphere ,Ill-health ,Cause to be ill 
roses,The body ,Prosperity ,
soap,Cleanness/dirtiness ,Cleanness/dirtiness ,Wash 
tea,The body ,Particular plants ,Particular plants 
Gewurztraminer,Food ,Drink ,
blossoms,NA,NA,NA
books,Administration of justice ,Learning ,
box,The body ,Death ,Heal/cure 
cedar,Particular plants ,Particular plants ,Materials 
cigarette,Healing/cure ,"Use of drugs, poison ",
display,Heal/cure ,Birds ,Birds 
food,Biology ,The body ,Person  food (c1225–c1400)
garden,Land ,Named regions of earth ,Farm 
garlic,Particular plants ,Food ,The Arts 
geraniums,NA,NA,NA
gods,The Arts ,,[
house,The universe ,The universe ,The universe 
kitchen,The body ,Food ,Be food for 
liners,NA,NA,NA
man,Source/principle of life ,Person  man < mann (OE–1597),Person 
mouth,Land ,Land ,Water 
night,Shine ,Shine ,Shine 
places,NA,NA,NA
pot.pourri,Food ,Smell/odour ,Relationship 
shoulder,Land ,Water ,The body 
summer,Direction ,Fish ,Mammals 
towels,NA,NA,NA
varieties,Change  ,Relationship ,The Arts 
wine,Healing/cure ,Healing/cure ,Particular plants 
